timestamp,etichetta_variante,modello,istruzioni_stile,risultato,motivo,numero_mosse,tentativi_falliti_totali,sequenza_mosse
2026-07-07T14:48:29,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,7,0,4 2 4 6 4 5 4
2026-07-07T14:48:58,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,23,0,1 4 3 2 5 5 6 4 6 7 3 1 3 3 4 5 6 7 3 7 4 3 6
2026-07-07T14:49:06,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,9,0,3 3 4 1 4 2 4 5 4
2026-07-07T14:49:17,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_RANDOM,QUATTRO_IN_LINEA,24,0,1 5 4 3 2 7 6 6 3 4 1 6 4 4 2 7 4 2 1 4 3 7 3 7
2026-07-07T14:49:20,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,17,0,4 1 4 5 3 2 1 3 3 3 4 7 3 6 5 5 4
2026-07-07T14:49:22,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,7,0,4 6 4 7 4 1 4
2026-07-07T14:49:24,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,9,0,3 2 4 4 1 4 5 4 6
2026-07-07T14:49:30,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,11,0,4 3 5 6 6 2 4 2 5 6 3
2026-07-07T14:49:45,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,9,0,4 5 1 4 4 1 2 1 3
2026-07-07T14:49:59,elo_800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 scarso,VINCE_LLM,QUATTRO_IN_LINEA,15,0,4 2 1 5 6 7 3 3 4 7 1 7 1 3 1
2026-07-07T14:50:15,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_LLM,QUATTRO_IN_LINEA,7,0,4 3 4 7 4 5 4
2026-07-07T14:50:33,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_RANDOM,QUATTRO_IN_LINEA,28,1,3 6 7 6 3 4 3 2 4 3 4 5 3 1 6 2 4 1 6 1 3 4 7 7 4 6 5 1
2026-07-07T14:51:04,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,PERDE_LLM,COLONNA_NON_VALIDA_LLM,10,4,4 5 4 4 4 4 7 4 7 6
2026-07-07T14:51:10,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_LLM,QUATTRO_IN_LINEA,19,1,4 2 4 7 5 6 4 4 4 3 5 7 5 7 4 1 7 1 5
2026-07-07T14:51:13,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,PERDE_LLM,COLONNA_NON_VALIDA_LLM,8,2,4 4 4 4 4 3 4 7
2026-07-07T14:51:14,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_LLM,QUATTRO_IN_LINEA,9,0,4 3 3 5 4 7 4 5 4
2026-07-07T14:51:20,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_LLM,QUATTRO_IN_LINEA,21,0,4 3 2 2 5 6 4 3 5 1 6 7 4 6 5 7 6 4 4 7 5
2026-07-07T14:51:26,elo_1800,google/gemini-2.5-flash-lite,Sei un giocatore di Forza 4 intermedio,VINCE_LLM,QUATTRO_IN_LINEA,15,3,4 3 4 4 4 1 4 4 3 5 3 1 3 6 3
